"hanzi_sc","hanzi_trad","pinyin","pinyin_style2","level","level_zh","cc_cedict_definitions"
"程","程","chéng","cheng2","4","Level 4","rule/order/regulations/formula/journey/procedure/sequence"
"建","建","jiàn","jian4","4","Level 4","to establish/to found/to set up/to build/to construct"
"议","議","yì","yi4","4","Level 4","to comment on/to discuss/to suggest"
"济","濟","jì","ji4","4","Level 4","to cross a river/to aid or relieve/to be of help"
"曾","曾","céng","ceng2","4","Level 4","great- (grandfather, grandchild etc)"
"民","民","mín","min2","4","Level 4","(bound form) the people/inhabitants of a country"
"坚","堅","jiān","jian1","4","Level 4","strong/solid/firm/unyielding/resolute"
"规","規","guī","gui1","4","Level 4","compass/a rule/regulation/to admonish/to plan/to scheme"
"环","環","huán","huan2","4","Level 4","ring/hoop/loop/(chain) link/classifier for scores in archery etc/to surround/to encircle/to hem in"
"境","境","jìng","jing4","4","Level 4","border/place/condition/boundary/circumstances/territory"
"证","證証","zhèng","zheng4","4","Level 4","certificate/proof/to prove/to demonstrate/to confirm"
"责","責","zé","ze2","4","Level 4","duty/responsibility/to reproach/to blame"
"造","造","zào","zao4","4","Level 4","to make/to build/to manufacture/to invent/to fabricate/to go to/party (in a lawsuit or legal agreement)/crop/classifier for crops"
"显","顯","xiǎn","xian3","4","Level 4","to make visible/to reveal/prominent/conspicuous/(prefix) phanero-"
"简","簡","jiǎn","jian3","4","Level 4","simple/uncomplicated/letter/to choose/to select/bamboo strips used for writing (old)"
"基","基","jī","ji1","4","Level 4","(bound form) base; foundation/(bound form) radical (chemistry)/(bound form) gay (loanword from English into Cantonese, Jyutping: gei1, followed by orthographic borrowing from Cantonese)"
"仍","仍","réng","reng2","4","Level 4","still; yet/to remain/(literary) frequently; often"
"父","父","fù","fu4","4","Level 4","father"
"亲","親","qīn","qin1","4","Level 4","parents-in-law of one's offspring"
"性","性","xìng","xing4","4","Level 4","nature/character/property/quality/attribute/sexuality/sex/gender/suffix forming adjective from verb/suffix forming noun from adjective, corresponding to -ness or -ity/essence/CL:個|个[ge4]"
"某","某","mǒu","mou3","4","Level 4","some/a certain/sb or sth indefinite/such-and-such"
"命","命","mìng","ming4","4","Level 4","life/fate/order or command/to assign a name, title etc"
"达","達","dá","da2","4","Level 4","to attain/to reach/to amount to/to communicate/eminent"
"义","義","yì","yi4","4","Level 4","justice/righteousness/meaning/foster (father etc)/adopted/artificial (tooth, limb etc)/relationship/friendship"
"断","斷","duàn","duan4","4","Level 4","to break/to snap/to cut off/to give up or abstain from sth/to judge/(usu. used in the negative) absolutely/definitely/decidedly"
"类","類","lèi","lei4","4","Level 4","kind/type/class/category/similar/like/to resemble"
"媒","媒","méi","mei2","4","Level 4","medium/intermediary/matchmaker/go-between/abbr. for 媒體|媒体[mei2 ti3], media, esp. news media"
"首","首","shǒu","shou3","4","Level 4","head/chief/first (occasion, thing etc)/classifier for poems, songs etc"
"母","母","mǔ","mu3","4","Level 4","mother/elderly female relative/origin/source/(of animals) female"
"化","化","huà","hua4","4","Level 4","to make into/to change into/-ization/to ... -ize/to transform/abbr. for 化學|化学[hua4 xue2]"
"立","立","lì","li4","4","Level 4","to stand/to set up/to establish/to lay down/to draw up/at once/immediately"
"产","產","chǎn","chan3","4","Level 4","to give birth/to reproduce/to produce/product/resource/estate/property"
"光","光","guāng","guang1","4","Level 4","light; ray (CL:道[dao4])/bright; shiny/only; merely/used up; finished/to leave (a part of the body) uncovered"
"派","派","pài","pai4","4","Level 4","clique/school/group/faction/to dispatch/to send/to assign/to appoint/pi (Greek letter Ππ)/the circular ratio pi = 3.1415926/(loanword) pie"
"负","負","fù","fu4","4","Level 4","to bear/to carry (on one's back)/to turn one's back on/to be defeated/negative (math. etc)"
"仅","僅","jǐn","jin3","4","Level 4","barely/only/merely"
"谈","談","tán","tan2","4","Level 4","to speak/to talk/to converse/to chat/to discuss"
"深","深","shēn","shen1","4","Level 4","deep (lit. and fig.)"
"领","領","lǐng","ling3","4","Level 4","neck/collar/to lead/to receive/classifier for clothes, mats, screens etc"
"导","導","dǎo","dao3","4","Level 4","to transmit/to lead/to guide/to conduct/to direct"
"增","增","zēng","zeng1","4","Level 4","(bound form) to increase; to augment; to add to"
"至","至","zhì","zhi4","4","Level 4","to arrive/most/to/until"
"训","訓","xùn","xun4","4","Level 4","to teach; to train; to admonish/(bound form) instruction (from superiors); teachings; rule"
"压","壓","yā","ya1","4","Level 4","used in 壓根兒|压根儿[ya4 gen1 r5] and 壓馬路|压马路[ya4 ma3 lu4] and 壓板|压板[ya4 ban3]"
"价","價","jià","jia4","4","Level 4","great/good/middleman/servant"
"值","值","zhí","zhi2","4","Level 4","value/(to be) worth/to happen to/to be on duty"
"属","屬","shǔ","shu3","4","Level 4","to join together/to fix one's attention on/to concentrate on"
"格","格","gé","ge2","4","Level 4","square/frame/rule/(legal) case/style/character/standard/pattern/(grammar) case/(classical) to obstruct/to hinder/(classical) to arrive/to come/(classical) to investigate/to study exhaustively"
"底","底","dǐ","di3","4","Level 4","background/bottom/base/end (of the month, year etc)/remnants/(math.) radix/base"
"历","曆歷","lì","li4","4","Level 4","to experience/to undergo/to pass through/all/each/every/history"
"验","驗","yàn","yan4","4","Level 4","to examine/to test/to check"
"状","狀","zhuàng","zhuang4","4","Level 4","accusation/suit/state/condition/strong/great/-shaped"
"品","品","pǐn","pin3","4","Level 4","(bound form) article; commodity; product; goods/(bound form) grade; rank/kind; type; variety/character; disposition; nature; temperament/to taste sth; to sample/to criticize; to comment; to judge; to size up/fret (on a guitar or lute)"
"步","步","bù","bu4","4","Level 4","a step/a pace/walk/march/stages in a process/situation"
"伤","傷","shāng","shang1","4","Level 4","to injure/injury/wound"
"具","具","jù","ju4","4","Level 4","tool/device/utensil/equipment/instrument/talent/ability/to possess/to have/to provide/to furnish/to state/classifier for devices, coffins, dead bodies"
"困","睏困","kùn","kun4","4","Level 4","sleepy/tired"
"幸","幸倖","xìng","xing4","4","Level 4","fortunate/lucky"
"福","福","fú","fu2","4","Level 4","good fortune/happiness/luck"
"婚","婚","hūn","hun1","4","Level 4","to marry/marriage/wedding/to take a wife"
"抓","抓","zhuā","zhua1","4","Level 4","to grab/to catch/to arrest/to snatch/to scratch"
"警","警","jǐng","jing3","4","Level 4","to alert/to warn/police"
"效","效","xiào","xiao4","4","Level 4","effect/efficacy/to imitate"
"范","範","fàn","fan4","4","Level 4","surname Fan"
"围","圍","wéi","wei2","4","Level 4","to encircle/to surround/all around/to wear by wrapping around (scarf, shawl)"
"紧","緊","jǐn","jin3","4","Level 4","tight/strict/close at hand/near/urgent/tense/hard up/short of money/to tighten"
"集","集","jí","ji2","4","Level 4","to gather/to collect/collected works/classifier for sections of a TV series etc: episode"
"血","血","xuè","xue4","4","Level 4","blood/colloquial pr. [xie3]/CL:滴[di1],片[pian4]"
"速","速","sù","su4","4","Level 4","fast/rapid/quick/velocity"
"艺","藝","yì","yi4","4","Level 4","skill/art"
"纪","紀","jì","ji4","4","Level 4","order/discipline/age/era/period/to chronicle"
"职","職","zhí","zhi2","4","Level 4","office/duty"
"失","失","shī","shi1","4","Level 4","to lose/to miss/to fail"
"营","營","yíng","ying2","4","Level 4","camp/barracks/battalion/to build/to operate/to manage/to strive for"
"演","演","yǎn","yan3","4","Level 4","to perform (a play etc); to stage (a show)/(bound form) to develop; to play out; to carry out (a task)"
"挂","掛","guà","gua4","4","Level 4","to hang or suspend (from a hook etc)/to hang up (the phone)/(of a line) to be dead/to be worried or concerned/to make a phone call (dialect)/to register or record/classifier for sets or clusters of objects/(slang) to kill/to die/to be finished/to fail (an exam)"
"群","群","qún","qun2","4","Level 4","group/crowd/flock, herd, pack etc"
"龙","龍","lóng","long2","4","Level 4","dragon/CL:條|条[tiao2]/imperial"
"资","資","zī","zi1","4","Level 4","resources/capital/to provide/to supply/to support/money/expense"
"丽","麗","lì","li4","4","Level 4","beautiful"
"跳","跳","tiào","tiao4","4","Level 4","to jump/to hop/to skip over/to bounce/to palpitate"
"反","反","fǎn","fan3","4","Level 4","contrary/in reverse/inside out or upside down/to reverse/to return/to oppose/opposite/against/anti-/to rebel/to use analogy/instead/abbr. for 反切[fan3 qie4] phonetic system"
"传","傳","chuán","chuan2","4","Level 4","biography/historical narrative/commentaries/relay station"
"采","采採","cǎi","cai3","4","Level 4","allotment to a feudal noble"
"充","充","chōng","chong1","4","Level 4","sufficient; full/to fill/to serve as; to act as/to act falsely as; to pose as"
"础","礎","chǔ","chu3","4","Level 4","foundation/base"
"朝","朝","cháo","chao2","4","Level 4","morning"
"宣","宣","xuān","xuan1","4","Level 4","to declare (publicly)/to announce"
"布","布","bù","bu4","4","Level 4","cloth/to declare/to announce/to spread/to make known"
"乱","亂","luàn","luan4","4","Level 4","in confusion or disorder/in a confused state of mind/disorder/upheaval/riot/illicit sexual relations/to throw into disorder/to mix up/indiscriminate/random/arbitrary"
"创","創","chuàng","chuang4","4","Level 4","to initiate; to create; to achieve (sth for the first time)"
"足","足","zú","zu2","4","Level 4","(bound form) foot; leg/sufficient; ample/as much as; fully"
"形","形","xíng","xing2","4","Level 4","to appear/to look/form/shape"
"初","初","chū","chu1","4","Level 4","at first/(at the) beginning/first/junior/basic"
"破","破","pò","po4","4","Level 4","broken/damaged/worn out/lousy/rotten/to break, split or cleave/to get rid of/to destroy/to break with/to defeat/to capture (a city etc)/to expose the truth of"
"危","危","wēi","wei1","4","Level 4","danger/to endanger/Taiwan pr. [wei2]"
"险","險","xiǎn","xian3","4","Level 4","danger/dangerous/rugged"
"录","錄彔","lù","lu4","4","Level 4","diary/record/to hit/to copy"
"团","糰團","tuán","tuan2","4","Level 4","dumpling"
"追","追","zhuī","zhui1","4","Level 4","to chase/to pursue/to look into/to investigate/to reminisce/to recall/to court (one's beloved)/to binge-watch (a TV drama)/retroactively/posthumously"
"积","積","jī","ji1","4","Level 4","to amass/to accumulate/to store/measured quantity (such as area of volume)/product (the result of multiplication)/to integrate (math.)/to solve (or integrate) an ordinary differential equation (math.)/old/long-standing"
"架","架","jià","jia4","4","Level 4","to support/frame/rack/framework/classifier for planes, large vehicles, radios etc"
"章","章","zhāng","zhang1","4","Level 4","chapter/section/clause/movement (of symphony)/seal/badge/regulation/order"
"彩","彩","cǎi","cai3","4","Level 4","(bright) color/variety/applause/applaud/lottery prize"
"刀","刀","dāo","dao1","4","Level 4","knife/blade/single-edged sword/cutlass/CL:把[ba3]/(slang) dollar (loanword)/classifier for sets of one hundred sheets (of paper)/classifier for knife cuts or stabs"
"误","誤","wù","wu4","4","Level 4","mistake/error/to miss/to harm/to delay/to neglect/mistakenly"
"胜","勝","shèng","sheng4","4","Level 4","victory/success/to beat/to defeat/to surpass/victorious/superior to/to get the better of/better than/surpassing/superb (of vista)/beautiful (scenery)/wonderful (view)/(Taiwan pr. [sheng1]) able to bear/equal to (a task)"
"制","制製","zhì","zhi4","4","Level 4","to manufacture/to make"
"救","救","jiù","jiu4","4","Level 4","to save/to assist/to rescue"
"敢","敢","gǎn","gan3","4","Level 4","to dare/daring/(polite) may I venture"
"优","優","yōu","you1","4","Level 4","excellent/superior"
"势","勢","shì","shi4","4","Level 4","power/influence/potential/momentum/tendency/trend/situation/conditions/outward appearance/sign/gesture/male genitals"
"杂","雜","zá","za2","4","Level 4","mixed/miscellaneous/various/to mix"
"志","志誌","zhì","zhi4","4","Level 4","sign/mark/to record/to write a footnote"
"赢","贏","yíng","ying2","4","Level 4","to beat/to win/to profit"
"待","待","dài","dai4","4","Level 4","to wait/to treat/to deal with/to need/going to (do sth)/about to/intending to"
"象","象","xiàng","xiang4","4","Level 4","elephant/CL:隻|只[zhi1]/shape/form/appearance/to imitate"
"费","費","fèi","fei4","4","Level 4","to cost/to spend/fee/wasteful/expenses"
"皮","皮","pí","pi2","4","Level 4","leather/skin/fur/CL:張|张[zhang1]/pico- (one trillionth)/naughty"
"顿","頓","dùn","dun4","4","Level 4","to stop/to pause/to arrange/to lay out/to kowtow/to stamp (one's foot)/at once/classifier for meals, beatings, scoldings etc: time, bout, spell, meal"
"痛","痛","tòng","tong4","4","Level 4","ache/pain/sorrow/deeply/thoroughly"
"苦","苦","kǔ","ku3","4","Level 4","bitter/hardship/pain/to suffer/to bring suffering to/painstakingly"
"旧","舊","jiù","jiu4","4","Level 4","old/opposite: new 新/former/worn (with age)"
"及","及","jí","ji2","4","Level 4","and/to reach/up to/in time for"
"桥","橋","qiáo","qiao2","4","Level 4","bridge/CL:座[zuo4]"
"香","香","xiāng","xiang1","4","Level 4","fragrant/sweet smelling/aromatic/savory or appetizing/(to eat) with relish/(of sleep) sound/perfume or spice/joss or incense stick/CL:根[gen1]"
"烈","烈","liè","lie4","4","Level 4","ardent/intense/fierce/stern/upright/to give one's life for a noble cause/exploits/achievements"
"评","評","píng","ping2","4","Level 4","to discuss/to comment/to criticize/to judge/to choose (by public appraisal)"
"输","輸","shū","shu1","4","Level 4","to lose; to be beaten/(bound form) to transport/(literary) to donate; to contribute/(coll.) to enter (a password)"
"伟","偉","wěi","wei3","4","Level 4","big/large/great"
"止","止","zhǐ","zhi3","4","Level 4","to stop/to prohibit/until/only"
"配","配","pèi","pei4","4","Level 4","to join/to fit/to mate/to mix/to match/to deserve/to make up (a prescription)/to allocate"
"武","武","wǔ","wu3","4","Level 4","martial/military"
"器","器","qì","qi4","4","Level 4","device/tool/utensil/CL:臺|台[tai2]"
"丰","豐丰","fēng","feng1","4","Level 4","abundant/plentiful/fertile/plump/great"
"富","富","fù","fu4","4","Level 4","rich/abundant/wealthy"
"防","防","fáng","fang2","4","Level 4","to protect/to defend/to guard against/to prevent"
"麻","麻","má","ma2","4","Level 4","generic name for hemp, flax etc/hemp or flax fiber for textile materials/sesame/CL:縷|缕[lu:3]/(of materials) rough or coarse/pocked/pitted/to have pins and needles or tingling/to feel numb"
"烦","煩","fán","fan2","4","Level 4","to feel vexed/to bother/to trouble/superfluous and confusing/edgy"
"退","退","tuì","tui4","4","Level 4","to retreat; to withdraw/to reject; to return (sth)/to decline"
"猪","豬","zhū","zhu1","4","Level 4","hog/pig/swine/CL:口[kou3],頭|头[tou2]"
"古","古","gǔ","gu3","4","Level 4","ancient/old/paleo-"
"厂","厂廠","chǎng","chang3","4","Level 4","factory/yard/depot/workhouse/works/(industrial) plant"
"舞","舞","wǔ","wu3","4","Level 4","to dance/to wield/to brandish"
"姑","姑","gū","gu1","4","Level 4","paternal aunt/husband's sister/husband's mother (old)/nun/for the time being (literary)"
"奇","奇","qí","qi2","4","Level 4","strange/odd/weird/wonderful/surprisingly/unusually"
"付","付","fù","fu4","4","Level 4","to pay/to hand over to/classifier for pairs or sets of things"
"害","害","hài","hai4","4","Level 4","to do harm to/to cause trouble to/harm/evil/calamity"
"烟","煙","yān","yan1","4","Level 4","cigarette or pipe tobacco/CL:根[gen1]/smoke/mist/vapour/CL:縷|缕[lu:3]/tobacco plant/(of the eyes) to be irritated by smoke"
"族","族","zú","zu2","4","Level 4","race/nationality/ethnicity/clan/by extension, social group (e.g. office workers 上班族)"
"土","土","tǔ","tu3","4","Level 4","earth/dust/clay/local/indigenous/crude opium/unsophisticated/one of the eight categories of ancient musical instruments 八音[ba1 yin1]"
"互","互","hù","hu4","4","Level 4","mutual"
"据","據","jù","ju4","4","Level 4","according to/to act in accordance with/to depend on/to seize/to occupy"
"卫","衛","wèi","wei4","4","Level 4","to guard/to protect/to defend/abbr. for 衛生|卫生, hygiene/health/abbr. for 衛生間|卫生间, toilet"
"迷","迷","mí","mi2","4","Level 4","to bewilder/crazy about/fan/enthusiast/lost/confused"
"将","將","jiāng","jiang1","4","Level 4","to desire/to invite/to request"
"判","判","pàn","pan4","4","Level 4","to judge/to sentence/to discriminate/to discern/clearly distinguishable"
"争","爭","zhēng","zheng1","4","Level 4","to strive for/to vie for/to argue or debate/deficient or lacking (dialect)/how or what (literary)"
"祝","祝","zhù","zhu4","4","Level 4","to pray for/to wish (sb bon voyage, happy birthday etc)/person who invokes the spirits during sacrificial ceremonies"
"尽","儘盡","jǐn","jin3","4","Level 4","to use up/to exhaust/to end/to finish/to the utmost/exhausted/finished/to the limit (of sth)/all/entirely"
"批","批","pī","pi1","4","Level 4","to ascertain/to act on/to criticize/to pass on/classifier for batches, lots, military flights/tier (for the ranking of universities and colleges)"
"访","訪","fǎng","fang3","4","Level 4","(bound form) to visit/to call on/to seek/to inquire/to investigate"
"赶","趕","gǎn","gan3","4","Level 4","to overtake; to catch up with/to hurry; to rush/to try to catch (the bus etc)/to drive (cattle etc) forward; to drive (sb) away/to avail oneself of (an opportunity)/until; by (a certain time)"
"补","補","bǔ","bu3","4","Level 4","to repair/to patch/to mend/to make up for/to fill (a vacancy)/to supplement"
"汤","湯","tāng","tang1","4","Level 4","soup/hot or boiling water/decoction of medicinal herbs/water in which sth has been boiled"
"念","念","niàn","nian4","4","Level 4","to read/to study (a subject)/to attend (a school)/to read aloud/to give (sb) a tongue-lashing (CL:頓|顿[dun4])/to miss (sb)/idea/remembrance/twenty (banker's anti-fraud numeral corresponding to 廿[nian4])"
"恐","恐","kǒng","kong3","4","Level 4","afraid/frightened/to fear"
"咖","咖","kā","ka1","4","Level 4","coffee/class/grade"
"啡","啡","fēi","fei1","4","Level 4","(used in loanwords for its phonetic value)"
"石","石","shí","shi2","4","Level 4","rock/stone/stone inscription/one of the eight categories of ancient musical instruments 八音[ba1 yin1]"
"浪","浪","làng","lang4","4","Level 4","wave/breaker/unrestrained/dissipated/to stroll/to ramble"
"缺","缺","quē","que1","4","Level 4","deficiency/lack/scarce/vacant post/to run short of"
"羊","羊","yáng","yang2","4","Level 4","sheep; goat/CL:頭|头[tou2],隻|只[zhi1]"
"搬","搬","bān","ban1","4","Level 4","to move (i.e. relocate oneself)/to move (sth relatively heavy or bulky)/to shift/to copy indiscriminately"
"齐","齊","qí","qi2","4","Level 4","neat/even/level with/identical/simultaneous/all together/to even sth out"
"啤","啤","pí","pi2","4","Level 4","beer"
"握","握","wò","wo4","4","Level 4","to hold; to grasp/to clench (one's fist)/(bound form) to have in one's control/classifier: a handful"
"屋","屋","wū","wu1","4","Level 4","(bound form) house/(bound form) room"
"暖","暖","nuǎn","nuan3","4","Level 4","warm"
"预","預","yù","yu4","4","Level 4","to advance/in advance/beforehand/to prepare"
"胖","胖","pàng","pang4","4","Level 4","fat/plump"
"苹","苹蘋","píng","ping2","4","Level 4","apple"
"哈","哈","hā","ha1","4","Level 4","a Pekinese; a pug/(dialect) to scold"
"播","播","bō","bo1","4","Level 4","to sow/to scatter/to spread/to broadcast/Taiwan pr. [bo4]"
"庆","慶","qìng","qing4","4","Level 4","to celebrate"
"善","善","shàn","shan4","4","Level 4","good (virtuous)/benevolent/well-disposed/good at sth/to improve or perfect"
"落","落","luò","luo4","4","Level 4","to fall or drop/(of the sun) to set/(of a tide) to go out/to lower/to decline or sink/to lag or fall behind/to fall onto/to rest with/to get or receive/to write down/whereabouts/settlement"
"订","訂","dìng","ding4","4","Level 4","to agree/to conclude/to draw up/to subscribe to (a newspaper etc)/to order"
"否","否","fǒu","fou3","4","Level 4","clogged/evil"
"邮","郵","yóu","you2","4","Level 4","post (office)/mail"
"甜","甜","tián","tian2","4","Level 4","sweet"
"剧","劇","jù","ju4","4","Level 4","theatrical work (play, opera, TV series etc)/dramatic (change, increase etc)/acute/severe"
"泳","泳","yǒng","yong3","4","Level 4","swimming/to swim"
"夫","夫","fū","fu1","4","Level 4","(classical) this, that/he, she, they/(exclamatory final particle)/(initial particle, introduces an opinion)"
"吵","吵","chǎo","chao3","4","Level 4","to quarrel/to make a noise/noisy/to disturb by making a noise"
"乡","鄉","xiāng","xiang1","4","Level 4","country or countryside/native place/home village or town/township (PRC administrative unit)"
"沙","沙","shā","sha1","4","Level 4","granule/hoarse/raspy/sand/powder/CL:粒[li4]/abbr. for Tsar or Tsarist Russia"
"华","華","huá","hua2","4","Level 4","magnificent/splendid/flowery"
"币","幣","bì","bi4","4","Level 4","money/coins/currency/silk"
"冒","冒","mào","mao4","4","Level 4","to emit/to give off/to send out (or up, forth)/to brave/to face/reckless/to falsely adopt (sb's identity etc)/to feign/(literary) to cover"
"李","李","lǐ","li3","4","Level 4","plum"
"裤","褲","kù","ku4","4","Level 4","underpants/trousers/pants"
"牌","牌","pái","pai2","4","Level 4","mahjong tile/playing card/game pieces/signboard/plate/tablet/medal/CL:片[pian4],個|个[ge4],塊|块[kuai4]"
"巧","巧","qiǎo","qiao3","4","Level 4","opportunely/coincidentally/as it happens/skillful/timely"
"衬","襯","chèn","chen4","4","Level 4","(of garments) against the skin/to line/lining/to contrast with/to assist financially"
"衫","衫","shān","shan1","4","Level 4","garment/jacket with open slits in place of sleeves"
"材","材","cái","cai2","4","Level 4","material/timber/ability/aptitude/a capable individual/coffin (old)"
"散","散","sàn","san4","4","Level 4","to scatter/to break up (a meeting etc)/to disperse/to disseminate/to dispel/(coll.) to sack"
"箱","箱","xiāng","xiang1","4","Level 4","box/trunk/chest"
"蕉","蕉","jiāo","jiao1","4","Level 4","banana"
"景","景","jǐng","jing3","4","Level 4","(bound form) scenery/circumstance/situation/scene (of a play)/(literary) sunlight"
"木","木","mù","mu4","4","Level 4","(bound form) tree/(bound form) wood/unresponsive; numb; wooden"
"汁","汁","zhī","zhi1","4","Level 4","juice"
"却","卻","què","que4","4","Level 4","but/yet/however/while/to go back/to decline/to retreat/nevertheless/even though"
"之","之","zhī","zhi1","4","Level 4","(possessive particle, literary equivalent of 的[de5])/him/her/it"
"担","擔","dān","dan1","4","Level 4","picul (100 catties, 50 kg)/two buckets full/carrying pole and its load/classifier for loads carried on a shoulder pole"
"无","無","wú","wu2","4","Level 4","not to have/no/none/not/to lack/un-/-less"
"择","擇","zé","ze2","4","Level 4","to select/to choose/to pick over/to pick out/to differentiate/to eliminate/also pr. [zhai2]"
"政","政","zhèng","zheng4","4","Level 4","political/politics/government"
"府","府","fǔ","fu3","4","Level 4","seat of government/government repository (archive)/official residence/mansion/presidential palace/(honorific) Your home/prefecture (from Tang to Qing times)"
"甚","甚","shèn","shen4","4","Level 4","what/very/extremely/any"
"研","研","yán","yan2","4","Level 4","to grind/study/research"
"究","究","jiū","jiu1","4","Level 4","after all/to investigate/to study carefully/Taiwan pr. [jiu4]"
"供","供","gōng","gong1","4","Level 4","sacrificial offering/to confess"
"统","統","tǒng","tong3","4","Level 4","to gather/to unite/to unify/whole"
"括","括","kuò","kuo4","4","Level 4","to enclose/to include/also pr. [gua1]"
"获","獲穫","huò","huo4","4","Level 4","(bound form) to reap; to harvest"
"项","項","xiàng","xiang4","4","Level 4","back of neck/item/thing/term (in a mathematical formula)/sum (of money)/classifier for principles, items, clauses, tasks, research projects etc"
"虑","慮","lǜ","lv4","4","Level 4","to think over/to consider/anxiety"
"史","史","shǐ","shi3","4","Level 4","history/annals/title of an official historian in ancient China"
"律","律","lǜ","lv4","4","Level 4","law"
"未","未","wèi","wei4","4","Level 4","not yet/did not/have not/not/8th earthly branch: 1-3 p.m., 6th solar month (7th July-6th August), year of the Sheep/ancient Chinese compass point: 210°"
"严","嚴","yán","yan2","4","Level 4","tight (closely sealed)/stern/strict/rigorous/severe/father"
"投","投","tóu","tou2","4","Level 4","to cast/to send/to throw oneself (into the river etc)/to seek refuge/to place oneself into the hands of"
"乎","乎","hū","hu1","4","Level 4","(classical particle similar to 於|于[yu2]) in/at/from/because/than/(classical final particle similar to 嗎|吗[ma5], 吧[ba5], 呢[ne5], expressing question, doubt or astonishment)"
"络","絡","luò","luo4","4","Level 4","net-like object/to hold sth in place with a net/to wind/to twist/(TCM) channels in the human body"
"附","附","fù","fu4","4","Level 4","to add; to attach/to be close to; to be attached"
"释","釋","shì","shi4","4","Level 4","to explain/to release/Buddha (abbr. for 釋迦牟尼|释迦牟尼[Shi4 jia1 mou2 ni2])/Buddhism"
"与","與","yǔ","yu3","4","Level 4","to take part in"
"呀","呀","ya","ya","4","Level 4","(particle equivalent to 啊 after a vowel, expressing surprise or doubt)"
"料","料","liào","liao4","4","Level 4","material/stuff/grain/feed/to expect/to anticipate/to guess"
"著","著","zhù","zhu4","4","Level 4","to make known/to show/to prove/to write/book/outstanding"
"置","置","zhì","zhi4","4","Level 4","to install/to place/to put/to buy"
"治","治","zhì","zhi4","4","Level 4","to rule/to govern/to manage/to control/to harness (a river)/to treat (a disease)/to wipe out (a pest)/to punish/to research"
"疗","療","liáo","liao2","4","Level 4","to treat/to cure/therapy"
"构","構","gòu","gou4","4","Level 4","to construct/to form/to make up/to compose/literary composition/paper mulberry (Broussonetia papyrifera)"
"引","引","yǐn","yin3","4","Level 4","to draw (e.g. a bow)/to pull/to stretch sth/to extend/to lengthen/to involve or implicate in/to attract/to lead/to guide/to leave/to provide evidence or justification for/old unit of distance equal to 10 丈[zhang4], one-thirtieth of a km or 33.33 meters"
"盘","盤","pán","pan2","4","Level 4","plate/dish/tray/board/hard drive (computing)/to build/to coil/to check/to examine/to transfer (property)/to make over/classifier for food: dish, helping/to coil/classifier for coils of wire/classifier for games of chess"
"企","企","qǐ","qi3","4","Level 4","(bound form) to stand on tiptoe and look; to anticipate; to look forward to/abbr. for 企業|企业[qi3 ye4]/Taiwan pr. [qi4]"
"局","侷局","jú","ju2","4","Level 4","cramped; narrow"
"轮","輪","lún","lun2","4","Level 4","wheel; disk; ring/steamship/to take turns; to rotate/classifier for big round objects: disk, or recurring events: round, turn"
"致","緻致","zhì","zhi4","4","Level 4","to send/to devote/to deliver/to cause/to convey"
"遇","遇","yù","yu4","4","Level 4","(bound form) to encounter; to happen upon; to meet unplanned/(bound form) to treat; to receive"
"妻","妻","qī","qi1","4","Level 4","to marry off (a daughter)"
"载","載","zài","zai4","4","Level 4","to carry/to convey/to load/to hold/to fill up/and/also/as well as/simultaneously"
"梦","夢","mèng","meng4","4","Level 4","dream (CL:場|场[chang2],個|个[ge4])/(bound form) to dream"
"申","申","shēn","shen1","4","Level 4","to extend/to state/to explain/9th earthly branch: 3-5 p.m., 7th solar month (7th August-7th September), year of the Monkey/ancient Chinese compass point: 240°"
"型","型","xíng","xing2","4","Level 4","mold/type/style/model"
"销","銷","xiāo","xiao1","4","Level 4","to melt (metal)/to cancel; to annul/to sell/to expend; to spend/pin; bolt/to fasten with a pin or bolt"
"售","售","shòu","shou4","4","Level 4","to sell/to make or carry out (a plan or intrigue etc)"
"战","戰","zhàn","zhan4","4","Level 4","to fight/fight/war/battle"
"倍","倍","bèi","bei4","4","Level 4","(two, three etc) -fold/times (multiplier)/double/to increase or multiply"
"授","授","shòu","shou4","4","Level 4","(bound form) to confer; to give/(bound form) to teach; to instruct/(literary) to appoint"
"巨","巨","jù","ju4","4","Level 4","very large; huge; tremendous; gigantic"
"既","既","jì","ji4","4","Level 4","already/since/both... (and...)"
"稳","穩","wěn","wen3","4","Level 4","settled; steady; stable"
"抱","抱","bào","bao4","4","Level 4","to hold/to carry (in one's arms)/to hug/to embrace/to surround/to cherish/(coll.) (of clothes) to fit nicely"
"丈","丈","zhàng","zhang4","4","Level 4","measure of length, ten Chinese feet (3.3 m)/to measure/husband/polite appellation for an older male"
"址","阯址","zhǐ","zhi3","4","Level 4","location; site/address/foundation"
"源","源","yuán","yuan2","4","Level 4","root/source/origin"
"毕","畢","bì","bi4","4","Level 4","the whole of/to finish/to complete/complete/full/finished"
"承","承","chéng","cheng2","4","Level 4","to bear/to carry/to hold/to continue/to undertake/to take charge/owing to/due to/to receive"
"竟","竟","jìng","jing4","4","Level 4","unexpectedly/actually/to go so far as to/indeed"
"寻","尋","xún","xun2","4","Level 4","to search/to look for/to seek"
"吸","吸","xī","xi1","4","Level 4","to breathe/to suck in/to absorb/to inhale"
"阶","階","jiē","jie1","4","Level 4","rank or step/stairs"
